代码,名称,板块类型,板块名称,行业代码,行业名称
300823,,行业分类,申万行业,640209,化工
601609,,行业分类,申万行业,240302,未知行业
688398,,行业分类,申万行业,220309,未知行业
688189,,行业分类,申万行业,370102,医药生物
603948,,行业分类,申万行业,220309,未知行业
688022,,行业分类,申万行业,640209,化工
603679,,行业分类,申万行业,270302,未知行业
603228,,行业分类,申万行业,270202,未知行业
002851,,行业分类,申万行业,630306,化工
300554,,行业分类,申万行业,640103,化工
601086,,行业分类,申万行业,450301,机械设备
600500,,行业分类,申万行业,220309,未知行业
603929,,行业分类,申万行业,620404,化工
300566,,行业分类,申万行业,270303,未知行业
300119,,行业分类,申万行业,110801,未知行业
600155,,行业分类,申万行业,490101,机械设备
300657,,行业分类,申万行业,270202,未知行业
600737,,行业分类,申万行业,110504,未知行业
300435,,行业分类,申万行业,410301,机械设备
688233,,行业分类,申万行业,270103,未知行业
002972,,行业分类,申万行业,640501,化工
002971,,行业分类,申万行业,220309,未知行业
300810,,行业分类,申万行业,650401,化工
603053,,行业分类,申万行业,410301,机械设备
300809,,行业分类,申万行业,640101,化工
300622,,行业分类,申万行业,450401,机械设备
300808,,行业分类,申万行业,270302,未知行业
688138,,行业分类,申万行业,270103,未知行业
688028,,行业分类,申万行业,640103,化工
688033,,行业分类,申万行业,640501,化工
688015,,行业分类,申万行业,640501,化工
688010,,行业分类,申万行业,270303,未知行业
688299,,行业分类,申万行业,270301,未知行业
300798,,行业分类,申万行业,220308,未知行业
002963,,行业分类,申万行业,620201,化工
688098,,行业分类,申万行业,110801,未知行业
002962,,行业分类,申万行业,270303,未知行业
603920,,行业分类,申万行业,270202,未知行业
603936,,行业分类,申万行业,270202,未知行业
603956,,行业分类,申万行业,640209,化工
002220,,行业分类,申万行业,110504,未知行业
600857,,行业分类,申万行业,450301,机械设备
603895,,行业分类,申万行业,640209,化工
603958,,行业分类,申万行业,350205,医药生物
603959,,行业分类,申万行业,620402,化工
300268,,行业分类,申万行业,110504,未知行业
002144,,行业分类,申万行业,350106,医药生物
603977,,行业分类,申万行业,220307,未知行业
603980,,行业分类,申万行业,220308,未知行业
300216,,行业分类,申万行业,640209,化工
